sample	lineage
ON755217|Turdusmerula15_feather_WLC_Day0|turdus_merula|NL|2016	B.4
NA|AS20221660|turdus_merula|NL|2022-08-08	B.4
KM659877|NA|turdus_merula|DE|2014-09-11	B
KY426764|NA|turdus_merula|DE|2016-10-04	B.1
OP007489|WBVR_bird-X-2016|strix_nebulosa|NL|2016-09-09	B.1
NA|18TV1196|turdidae_sp|NL|2018-09-16	B.1
MN122210|AS201700177|turdus_merula|NL|2017-09-15	B.1
MN122250|AS201800150|turdus_merula|NL|2018-08-30	B.1
MN122167|AS201600136|turdus_merula|NL|2016-09-23	B.1
MN122248|AS201800128|turdus_merula|NL|2018-08-22	B.1.6
NA|AS201600269|strix_nebulosa|NL|2016-09-25	B.1
NA|AS201600067|strix_nebulosa|NL|2016-09-09	B.1
MN122147|AS201600042|turdus_merula|NL|2016-09-07	B.1
KY426761|NA|turdus_merula|DE|2016-09-04	B.3
NA|AS201700142|strix_nebulosa|NL|2017-08-09	B.1.6
MN122146|AS201600036|turdus_merula|NL|2016-09-06	B.1.6
MN122200|AS201700118|turdus_merula|NL|2017-08-03	B.1
NA|AS201600289_BEC009|strix_nebulosa|NL|2016	B.1
MN122149|AS201600048|turdus_merula|NL|2016-09-07	B.1
MN122160|AS201600110|turdus_merula|NL|2016-09-22	B.1
NA|AS201800175|turdus_merula|NL|2018-08-22	B.2
MN122204|AS201700130|turdus_merula|NL|2017-08-16	B.1
MN122183|AS201600281|turdus_merula|NL|2016-09-25	B.1
MN122234|AS201800103|turdus_merula|NL|2018-08-10	B.1
ON755215|Turdusmerula13_feather_3W1L_Day0|turdus_merula|NL|2016	B.1.3
MN122168|AS201600148|turdus_merula|NL|2016-09-23	B.1
MK230891|Seraing/2017|turdus_merula|BE|2017-08	B.1
MN122252|AS201800152|turdus_merula|NL|2018-08-30	B.1
NA|AS201700173|strix_nebulosa|NL|2017-08-25	B.1
MN122223|AS201800090|turdus_merula|NL|2018-08-02	B.1
MN122233|AS201800102|turdus_merula|NL|2018-08-09	B.3
NA|AS201700148|strix_nebulosa|NL|2017-07-31	B.3
MN122246|AS201800126|turdus_merula|NL|2018-08-22	B.3
MN122214|AS201700254|turdus_merula|NL|2017-09-22	B.0
ON755222|Turdusmerula13_feather_3W2L_Day43|turdus_merula|NL|2016	B.1.3
ON755213|Turdusmerula11_feather_1W1L_Day0|turdus_merula|NL|2016	B.1.3
NA|AS20190716|copsychus_malabaricus|NL|2019-10-07	B.1
NA|AS20190715|copsychus_malabaricus|NL|2019-10-07	B.1
MN122253|AS201800154|turdus_merula|NL|2018-08-31	B.1
MN122193|AS201700087|turdus_merula|NL|2017-07-11	B.1
MN122153|AS201600062|turdus_merula|NL|2016-09-13	B.1
NA|AS201600082|strix_nebulosa|NL|2016-09-20	B.1
NA|18TV1221|turdus_merula|NL|2018-10-13	B.3
MN122244|AS201800123|turdus_merula|NL|2018-08-21	B.3
MN122245|AS201800125|turdus_merula|NL|2018-08-22	B.2
MN122220|AS201800087|turdus_merula|NL|2018-08-01	B.2
NA|16TV1045|turdus_merula|NL|2017-08-02	B.2
MN122201|AS201700121|turdus_merula|NL|2017-08-01	B.0
MN122186|AS201600286|turdus_merula|NL|2016-09-28	B.0
PV235994|USUV/NL/2021/CMV2045|culex_sp|NL|2021-07-26	B.1
MN122237|AS201800114|turdus_merula|NL|2018-08-15	B.1
MN122191|AS201700084|turdus_merula|NL|2017-07-05	B.1.1
MN122159|AS201600107|turdus_merula|NL|2016-09-22	B.1.1
MN122199|AS201700112|turdus_merula|NL|2017-07-27	B.1.5
ON755210|Turdusmerula17_feather_WLC_Day43|turdus_merula|NL|2016	B.1.2
MN122165|AS201600127|turdus_merula|NL|2016-09-23	B.1
MN122184|AS201600283|turdus_merula|NL|2016-09-27	B.1
MN122251|AS201800151|turdus_merula|NL|2018-08-30	B.1
NA|AS201600073|bubo_scandiacus|NL|2016-09-01	B.1
NA|AS20210829|turdus_merula|NL|2021-09-19	B.1
MN122195|AS201700096|turdus_merula|NL|2017-07-14	B.1
NA|AS20190450|turdus_merula|NL|2019-09-03	B.1
MN122216|AS201800081|turdus_merula|NL|2018-07-27	B.1
MN122217|AS201800082|turdus_merula|NL|2018-07-27	B.1
ON755219|Turdusmerula18_feather_WLC_Day0|turdus_merula|NL|2016	B.2
MN122230|AS201800099|turdus_merula|NL|2018-08-07	B.0
MN122145|AS201600034|turdus_merula|NL|2016-09-01	B.0
NA|22B04271|turdus_merula|NL|2022-12-03	B.0
NA|AS20221842|turdus_merula|NL|2022-09-04	B.0
MN122194|AS201700090|turdus_merula|NL|2017-07-13	B.1
MN122218|AS201800084|turdus_merula|NL|2018-07-31	B.1
OP921079|18TV0973_Ixodida|NA|NL|2018-08-18	B.1.1
OP921078|18TV0973_Turdusphilomelos|turdidae_sp|NL|2018-08-18	B.1.1
MN122255|AS201800156|turdus_merula|NL|2018-08-31	B.1.1
MN122242|AS201800121|turdus_merula|NL|2018-08-17	B.1.5
MN122209|AS201700174|turdus_merula|NL|2017-08-29	B.1.5
ON755211|Turdusmerula19_feather_WLC_Day43|turdus_merula|NL|2016	B.1.2
ON755220|Turdusmerula19_feather_WLC_Day0|turdus_merula|NL|2016	B.1.2
KY128482|Snebulosa-6004/NL/2016|strix_nebulosa|NL|2016-09	B.1
NA|AS201600064|strix_nebulosa|NL|2016-08-13	B.1
NA|AS20221828|turdus_merula|NL|2022-08-26	B.1
MN122161|AS201600115|turdus_merula|NL|2016-09-22	B.1
NA|AS20222401|turdus_merula|NL|2022-11-10	B.1
MN122247|AS201800127|turdus_merula|NL|2018-08-22	B.1
MN122228|AS201800095|turdus_merula|NL|2018-08-06	B.1.4
ON755218|Turdusmerula16_feather_WLC_Day0|turdus_merula|NL|2016	B.2
ON755214|Turdusmerula12_feather_2W1L_Day0|turdus_merula|NL|2016	B.2
MN122180|AS201600274|turdus_merula|NL|2016-09-27	B.1
MN122155|AS201600095|turdus_merula|NL|2016-09-21	B.1
NA|AS201800117|strix_nebulosa|NL|2018-08-16	B.1
NA|AS20221833|turdus_merula|NL|2022-08-28	B.1.1
MN122219|AS201800086|turdus_merula|NL|2018-08-01	B.1.4
NA|AS201800085|chloris_chloris|NL|2018-07-30	B.1.4
MN122173|AS201600227|turdus_merula|NL|2016-09-30	B.1.0
NA|AS201700198|strix_nebulosa|NL|2017-09-05	B.1.0
NA|17TV1199|turdus_merula|NL|2017-07-21	B.1.0
MN122226|AS201800093|turdus_merula|NL|2018-08-03	B.1.0
OP921077|16TV1039_Ixodesfrontalis|ixodes_frontalis|NL|2016-10-07	B.0
OP921076|16TV1039_Turdusmerula|turdus_merula|NL|2016-10-07	B.0
NA|AS20221923|turdus_merula|NL|2022-09-04	B.0
MT188658|NA|turdus_merula|NL|2016	B.0
ON755216|Turdusmerula14_feather_WLC_Day0|turdus_merula|NL|2016	B.0
ON755209|Turdusmerula14_feather_WLC_Day43|turdus_merula|NL|2016	B.0
NA|AS20200367|turdus_merula|NL|2020-08-16	B.0
MN122169|AS201600173|turdus_merula|NL|2016-10-07	B.0
MN122206|AS201700155|turdus_merula|NL|2017-08-10	B.0
MN122243|AS201800122|turdus_merula|NL|2018-08-21	B.1
NA|18TV1517|turdus_merula|NL|2018-10-11	B.1
NA|22TV2594|cyanistes_caeruleus|NL|2022-08-24	B.1.1
NA|AS20221789|turdus_merula|NL|2022-08-24	B.1.1
MN122208|AS201700170|turdus_merula|NL|2017-08-25	B.1
MN122150|AS201600051|turdus_merula|NL|2016-09-07	B.1
MN122239|AS201800116|turdus_merula|NL|2018-08-16	B.1
MN122241|AS201800120|turdus_merula|NL|2018-08-17	B.1
NA|AS20190494|turdus_merula|NL|2019-08-28	B.1
NA|18TV0825|turdus_merula|NL|2018-08-18	B.1.0
MN122225|AS201800092|turdus_merula|NL|2018-08-02	B.1.0
MN122205|AS201700152|turdus_merula|NL|2017-07-19	B.1.0
NA|AS20200561|turdus_merula|NL|2020-09-27	B.1.0
NA|AS201800080|strix_nebulosa|NL|2018-07-24	B.1.0
OP921082|16TV1131_Ixodesricinus_8|ixodes_ricinus|NL|2016-10-16	B.1.0
PV235996|USUV/NL/2022/CMV3394|culex_sp|NL|2022-07-26	B.0
NA|AS20221952|streptopelia_decaocto|NL|2022-09-27	B.0
MH891847|AS201600045|turdus_merula|NL|2016-09-07	B.0
NA|AS20190438|gracula_religiosa|NL|2019-09-12	B.0
MT795154|NA|turdus_merula|DE|2016-09-30	B.0
NA|22B00749|turdidae_sp|NL|2022-09-21	B.0
NA|AS20221942|turdus_merula|NL|2022-09-20	B.0
NA|Blackbird_Cambridgeshire_2023_a|turdus_merula|UK|2023-08	B.0.1
MN122202|AS201700124|turdus_merula|NL|2017-08-01	B.1
NA|18TV0252|turdus_merula|NL|2018-10-31	B.1
NA|19TV0102|passer_domesticus|NL|2019-04-24	B.1
NA|19TV0329|turdus_merula|NL|2019-04-12	B.1
MN122256|AS201800157|turdus_merula|NL|2018-09-04	B.1
MN122221|AS201800088|turdus_merula|NL|2018-08-01	B.1
NA|17TV1510|turdus_merula|NL|2018-10-06	B.1.0
OP921081|16TV1131_Ixodesricinus_6|ixodes_ricinus|NL|2016-10-16	B.1.0
MN813490|TMNetherlands|turdus_merula|NL|2016	B.0
NA|18TV0475|turdus_merula|NL|2018-08-18	B.0
NA|AS20190490|turdus_merula|NL|2019-08-27	B.0
MN122222|AS201800089|turdus_merula|NL|2018-08-02	B.1.0
MN122197|AS201700106|turdus_merula|NL|2017-07-25	B.1.0
OP921080|16TV1131_Ixodesricinus_5|ixodes_ricinus|NL|2016-10-16	B.1.0
OP921083|16TV1131_Turdusmerula|turdus_merula|NL|2016-10-16	B.1.0
MN122148|AS201600045|turdus_merula|NL|2016-09-07	B.0
PQ041659|USUV_TM_Netherlands_2016|NA|NL|2020	B.0
MN122156|AS201600098|turdus_merula|NL|2016-09-21	B.0
MN122187|AS201600287|turdus_merula|NL|2016-09-27	B.0
NA|Blackbird_London_2022_a|turdus_merula|UK|2022-09	B.0.1
MW001216|NA|turdus_merula|UK|2020-07	B.0.1
NA|Blackbird_London_2022_b|turdus_merula|UK|2022-09	B.0.1
OM202464|Greater_London_2021|turdus_merula|UK|2021-09	B.0.1
PV235993|USUV/NL/2019/CMV442|culex_sp|NL|2019-08-22	B.0.2
NA|AS20200605|turdus_merula|NL|2020-08-22	B.0.2
NA|AS20190579|prunella_modularis|NL|2019-09-19	B.0.2
NA|AS20190643|passer_domesticus|NL|2019-09-18	B.0.2
NA|22B00483|turdus_merula|NL|2022-09-16	B.0.0
MN122240|AS201800118|turdus_merula|NL|2018-08-16	B.0
MN122254|AS201800155|turdus_merula|NL|2018-08-31	B.0
NA|AS20221880|turdus_merula|NL|2022-09-12	B.0.0
NA|AS20221875|turdus_merula|NL|2022-09-11	B.0.0
MN122207|AS201700167|turdus_merula|NL|2017-09-01	B.0
MN122227|AS201800094|turdus_merula|NL|2018-08-03	B.0
NA|AS20221813|turdus_merula|NL|2022-08-24	B.0.0
MN122185|AS201600284|turdus_merula|NL|2016-10-03	B.0
MN122249|AS201800129|turdus_merula|NL|2018-08-23	B.0
NA|AS20221958|turdus_merula|NL|2022-09-25	B.0.0
NA|AS20221974|turdus_merula|NL|2022-09-20	B.0.0
NA|21TV9171|turdus_merula|NL|2022-09-08	B.0.0
NA|22B00186|turdus_merula|NL|2022-11-12	B.0.0
NA|AS20221889|turdus_merula|NL|2022-09-18	B.0.0
NA|AS20221818|turdus_merula|NL|2022-08-31	B.0.0
NA|AS20221637|turdus_merula|NL|2022-08-04	B.0.0
MN122224|AS201800091|turdus_merula|NL|2018-08-02	B.0
MN122211|AS201700186|turdus_merula|NL|2017-09-13	B.0
MN122236|AS201800113|turdus_merula|NL|2018-08-14	B.0
NA|AS20221979|turdidae_sp|NL|2022-10-03	B.0.0
NA|AS20221928|turdus_merula|NL|2022-09-25	B.0.0
NA|22TV3780|turdus_merula|NL|2022-09-11	B.0.0
NA|AS20221898|turdus_merula|NL|2022-09-11	B.0.0
NA|AS20221994|passer_domesticus|NL|2022-09-19	B.0.0
NA|AS20221913|turdus_merula|NL|2022-09-11	B.0.0
NA|22TV3602|turdus_merula|NL|2022-10-02	B.0.0
NA|AS20221846|turdus_merula|NL|2022-09-03	B.0.0
NA|AS20200689|turdus_merula|NL|2020-09-30	B.0.0
MN122175|AS201600244|turdus_merula|NL|2016-09-27	B.0
NA|AS20221957|turdus_merula|NL|2022-09-25	B.0.0
NA|AS20221999|turdidae_sp|NL|2022-09-22	B.0.0
NA|22TV2538|turdus_merula|NL|2022-08-24	B.0.0
NA|AS20221884|turdus_merula|NL|2022-09-14	B.0.0
NA|22B00237|turdus_merula|NL|2022-11-12	B.0.0
MN122162|AS201600118|turdus_merula|NL|2016-09-22	B.0
NA|22TV2684|turdus_merula|NL|2022-09-04	B.0.0
NA|22TV2828|turdus_merula|NL|2022-09-03	B.0.0
NA|AS20221755|strix_nebulosa|NL|2022-07-21	B.0.0
NA|AS20210914|turdus_merula|NL|2021-08-30	B.0.0
NA|AS20221760|turdus_merula|NL|2022-08-24	B.0.0
MN122163|AS201600121|turdus_merula|NL|2016-09-22	B.0
MN122164|AS201600124|turdus_merula|NL|2016-09-23	B.0
NA|22TV2724|turdidae_sp|NL|2022-08-28	B.0.0
NA|22B00462|turdus_merula|NL|2022-09-09	B.0.0
NA|AS20221903|turdus_merula|NL|2022-09-13	B.0.0
NA|AS20221908|turdus_merula|NL|2022-09-12	B.0.0
NA|AS20221775|turdus_merula|NL|2022-08-28	B.0.0
NA|AS20221784|turdus_merula|NL|2022-08-11	B.0.0
NA|22TV3632|turdus_merula|NL|2022-10-08	B.0.0
NA|AS20221627|turdus_merula|NL|2022-07-28	B.0.0
NA|AS20221918|cyanistes_caeruleus|NL|2022-09-15	B.0.0
NA|AS20221838|turdus_merula|NL|2022-08-22	B.0.0
NA|AS20221803|turdus_merula|NL|2022-09-02	B.0.0
NA|AS20221657|turdus_merula|NL|2022-08-04	B.0.0
NA|AS20221617|turdus_merula|NL|2022-08-08	B.0.0
PV235995|USUV/NL/2022/CMV3308|culex_sp|NL|2022-07-13	B.0.0
PQ633267|USUV/NL/2022/SCBC7P30|NA|NL|2022-11-18	B.0.0
NA|22TV3658|turdus_merula|NL|2022-08-27	B.0.0
NA|AS20221860|turdus_merula|NL|2022-09-14	B.0.0
NA|21TV8157|turdus_merula|NL|2022-10-02	B.0.0
NA|22B00207|turdus_merula|NL|2022-11-12	B.0.0
NA|AS20221964|columba_palumbus|NL|2022-09-26	B.0.0
NA|AS20221670|turdus_merula|NL|2022-07-24	B.0.0
OU674388|NA|turdus_merula|LU|2020-09	C
MK419834|USU-BE-Scoter/2018|melanitta_nigra|BE|2018-08	C
PQ677887|Ar2|alectoris_rufa|PT|2023-11-05	C
MT863562|HauteVienne4997/France/2018|turdus_merula|FR|2018-07-24	C
KY294723|S-1238|turdus_merula|DE|2016	C
ON755221|Turdusmerula20_feather_WLC_Day0|turdus_merula|NL|2016	C
ON755212|Turdusmerula20_feather_WLC_Day43|turdus_merula|NL|2016	C
PP482815|AeDet2-batch3_Nansouty_2023-08-18|culex_sp|FR|2023-08-18	C
PP482816|Cx1-batch2_Zen-Pets-Res_2023-08-03|culex_pipiens|FR|2023-08-03	C
MN122238|AS201800115|turdus_merula|NL|2018-08-15	C.0
KY199557|NA|turdus_merula|DE|2016	C.0
KY294722|S-1232|turdus_merula|DE|2016	C.0
ON813226|SN2005_173459|culex_neavei|SN|2005	D
ON813227|SN2005_ArD_171185|culex_neavei|SN|2005	D
ON813228|SN2005_ArD_173775|culex_neavei|SN|2005	D
MH727242|ROD_259552|rattus_rattus|SN|2013-10-24	D
MH727239|ROD_259496|mastomys_natalensis|SN|2013-10-23	D
MH727241|ROD_259524|mastomys_natalensis|SN|2013-10-24	D
MH727240|CROC_259520|soricidae_sp|SN|2013-10-23	D
MH727238|ROD_259466|mastomys_natalensis|SN|2013-10-23	D
MG461312|USUV_355m_Israel04_USUTU_|culex_perexiguus|IL|2004-09-27	E
MG461309|USUV_100m_Israel04_USUTU_|culex_pipiens|IL|2004-07-14	E.1
MN813491|UG09615|culex_univittatus|UG|2012	E
MT241508|UG09615|culex_univittatus|UG|2012-02	E
MG461311|USUV_341m_Israel04_USUTU_|culex_pipiens|IL|2004-09-23	E.1
MG461310|USUV_269m_Israel04_USUTU_|culex_perexiguus|IL|2004-08-24	E.1
ON813222|SN2016_288158|culex_neavei|SN|2016	E.2
KC754957|ArD192495|culex_neavei|SN|2007	E
ON813224|SN2016_286099|culex_poicilipes|SN|2016	E.2
ON813225|SN2013_260237|culex_neavei|SN|2013	E.2
MG461308|USUV_593m_Israel15_USUTU_|aedes_albopictus|IL|2015-09-21	E
MG461306|USUV_269m_Israel15_USUTU_|culex_perexiguus|IL|2015-06-30	E.0
MG461313|USUV_550m_Israel15_USUTU_|culex_perexiguus|IL|2015-09-08	E.0
MG461307|USUV_569m_Israel15_USUTU_|culex_pipiens|IL|2015-09-08	E.0
KF573410|NA|culex_pipiens|ES|2006-08-22	F
KX601692|USUV-Rhone2705/France/2015|turdus_merula|FR|2015-09-23	F
KY199556|NA|strix_nebulosa|DE|2016	F.0
KU664608|Usutu_Berlin|strix_nebulosa|DE|2015-08-21	F.0
KY426758|NA|turdus_merula|DE|2016-09-25	F.0
ON813221|SN2016_288129|culex_neavei|SN|2016	G
ON813223|SN2016_286125|culex_neavei|SN|2016	G
ON813220|SN2016_286066|culex_neavei|SN|2016	G
MN813488|DakPM173701|culex_neavei|SN|2003	H
ON813229|SN2005_ArD_173133|culex_neavei|SN|2005	H
KC754954|ArD19848|culex_perfuscus|SN|1974	H
